Country,Shipping Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Price,Mode,Time
Morocco,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 329.78"", ""Delivery Time"": ""Sep 27""}, {""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 492.58"", ""Delivery Time"": ""Sep 30""}, {""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""Sep 27""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 1,602.99"", ""Delivery Time"": ""Oct 01""}, {""Courier Name"": ""Cainiao Standard For Special Goods"", ""Shipping Cost"": ""NGN 1,824.23"", ""Delivery Time"": ""Sep 25""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 14,982.10"", ""Delivery Time"": ""Sep 10""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""Sep 27""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""Sep 27""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 33,675.28"", ""Delivery Time"": ""Aug 11""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 33,900.70"", ""Delivery Time"": ""Aug 06""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 36,050.54"", ""Delivery Time"": ""Aug 10""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""Aug 05""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,Estimated delivery on Aug 05
Mozambique,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 492.58"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 492.58"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 1,824.23"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,349.01"", ""Delivery Time"": ""53-53 days""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""20-40 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 36,050.54"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""13-29 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,13-29 days
Myanmar,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Cainiao Standard For Special Goods"", ""Shipping Cost"": ""NGN 1,385.92"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 18,396.80"", ""Delivery Time"": ""14-27 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""8-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,8-15 days
Namibia,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 492.58"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 492.58"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 492.58"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,041.31"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 36,050.54"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""23-46 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,23-46 days
Nauru,"[{""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 492.58"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 1,502.80"", ""Delivery Time"": ""30-50 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 18,396.80"", ""Delivery Time"": ""33-35 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Nepal,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 196.20"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""NGN 329.78"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 20,955.73"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 23,401.96"", ""Delivery Time"": ""20-40 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 31,304.19"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 35,224.00"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Netherlands,"[{""Courier Name"": ""Seller's Shipping Method"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Sep 30""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Sep 24""}, {""Courier Name"": ""Cainiao Super Economy"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Sep 24""}, {""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Oct 22""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 830.72"", ""Delivery Time"": ""Aug 21""}, {""Courier Name"": ""Cainiao Standard For Special Goods"", ""Shipping Cost"": ""NGN 930.90"", ""Delivery Time"": ""Oct 07""}, {""Courier Name"": ""Cainiao Standard - SG Air"", ""Shipping Cost"": ""NGN 2,475.45"", ""Delivery Time"": ""Aug 18""}, {""Courier Name"": ""Cainiao Heavy Parcel Line"", ""Shipping Cost"": ""NGN 4,788.09"", ""Delivery Time"": ""Sep 19""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 10,886.96"", ""Delivery Time"": ""Aug 14""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 23,673.30"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 23,673.30"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 34,163.69"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 37,394.71"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 37,878.95"", ""Delivery Time"": ""Aug 12""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 40,746.80"", ""Delivery Time"": ""Aug 12""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 40,746.80",UPS Expedited,Estimated delivery on Aug 12
Netherlands Antilles,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 196.20"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 196.20"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,262.55"", ""Delivery Time"": ""47-47 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
New Caledonia,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 1,385.92"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 18,396.80"", ""Delivery Time"": ""53-53 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 21,402.40"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 26,628.81"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 27,146.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""17-28 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,17-28 days
New Zealand,"[{""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""Free Shipping"", ""Delivery Time"": ""Sep 19""}, {""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 492.58"", ""Delivery Time"": ""Sep 22""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 492.58"", ""Delivery Time"": ""Sep 24""}, {""Courier Name"": ""Cainiao Standard For Special Goods"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""Sep 22""}, {""Courier Name"": ""SunYou Economic Air Mail"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""Sep 24""}, {""Courier Name"": ""Special Line-YW"", ""Shipping Cost"": ""NGN 943.43"", ""Delivery Time"": ""Aug 15""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 1,385.92"", ""Delivery Time"": ""Aug 19""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 9,450.95"", ""Delivery Time"": ""Aug 30""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 14,673.19"", ""Delivery Time"": ""Aug 29""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 21,402.40"", ""Delivery Time"": ""Aug 11""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 23,401.96"", ""Delivery Time"": ""Aug 25""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 23,552.24"", ""Delivery Time"": ""Aug 08""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 26,628.81"", ""Delivery Time"": ""Aug 27""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 27,146.44"", ""Delivery Time"": ""Aug 08""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 27,146.44",UPS Expedited,Estimated delivery on Aug 08
Nicaragua,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""61-61 days""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 943.43"", ""Delivery Time"": ""63-63 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 943.43"", ""Delivery Time"": ""63-63 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,262.55"", ""Delivery Time"": ""63-63 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 17,349.01"", ""Delivery Time"": ""21-44 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 35,224.00"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Niger,"[{""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 943.43"", ""Delivery Time"": ""58-58 days""}, {""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 943.43"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""Yanwen Economic Air Mail"", ""Shipping Cost"": ""NGN 943.43"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,262.55"", ""Delivery Time"": ""48-48 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 26,148.75"", ""Delivery Time"": ""33-35 days""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""20-40 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 36,050.54"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 57,632.44"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 58,008.14"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Nigeria,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 196.20"", ""Delivery Time"": ""Sep 24""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 1,602.99"", ""Delivery Time"": ""Aug 17""}, {""Courier Name"": ""Cainiao Standard For Special Goods"", ""Shipping Cost"": ""NGN 1,824.23"", ""Delivery Time"": ""Sep 12""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""Sep 20""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 31,087.12"", ""Delivery Time"": ""Sep 24""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 33,900.70"", ""Delivery Time"": ""14-25 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 36,050.54"", ""Delivery Time"": ""Aug 20""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""Aug 07""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,Estimated delivery on Aug 07
Niue,"[{""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 1,824.23"", ""Delivery Time"": ""52-52 days""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 18,396.80"", ""Delivery Time"": ""33-35 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 59,306.40"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 59,306.40",DHL,7-15 days
Norfolk Island,"[{""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 2,262.55"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 26,628.81"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 27,146.44"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 27,146.44",UPS Expedited,7-15 days
Northern Mariana Islands,"[{""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 1,824.23"", ""Delivery Time"": ""60-60 days""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 15,566.52"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 21,402.40"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 26,628.81"", ""Delivery Time"": ""7-15 days""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 27,146.44"", ""Delivery Time"": ""7-15 days""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 27,146.44",UPS Expedited,7-15 days
Norway,"[{""Courier Name"": ""Cainiao Super Economy Global"", ""Shipping Cost"": ""NGN 196.20"", ""Delivery Time"": ""Sep 24""}, {""Courier Name"": ""Cainiao Super Economy for Special Goods"", ""Shipping Cost"": ""NGN 684.61"", ""Delivery Time"": ""Sep 22""}, {""Courier Name"": ""Special Line-YW"", ""Shipping Cost"": ""NGN 943.43"", ""Delivery Time"": ""Aug 22""}, {""Courier Name"": ""AliExpress Saver Shipping"", ""Shipping Cost"": ""NGN 943.43"", ""Delivery Time"": ""Sep 14""}, {""Courier Name"": ""AliExpress Standard Shipping"", ""Shipping Cost"": ""NGN 1,824.23"", ""Delivery Time"": ""Aug 27""}, {""Courier Name"": ""Cainiao Standard For Special Goods"", ""Shipping Cost"": ""NGN 3,143.36"", ""Delivery Time"": ""Sep 12""}, {""Courier Name"": ""AliExpress Premium Shipping"", ""Shipping Cost"": ""NGN 9,000.11"", ""Delivery Time"": ""Sep 02""}, {""Courier Name"": ""EMS"", ""Shipping Cost"": ""NGN 19,561.47"", ""Delivery Time"": ""Aug 29""}, {""Courier Name"": ""e-EMS"", ""Shipping Cost"": ""NGN 23,401.96"", ""Delivery Time"": ""Sep 24""}, {""Courier Name"": ""Fedex IP"", ""Shipping Cost"": ""NGN 28,235.97"", ""Delivery Time"": ""Aug 12""}, {""Courier Name"": ""DHL"", ""Shipping Cost"": ""NGN 30,903.45"", ""Delivery Time"": ""Aug 07""}, {""Courier Name"": ""UPS Express Saver"", ""Shipping Cost"": ""NGN 31,304.19"", ""Delivery Time"": ""Aug 03""}, {""Courier Name"": ""UPS Expedited"", ""Shipping Cost"": ""NGN 33,675.28"", ""Delivery Time"": ""Aug 06""}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NGN 33,675.28",UPS Expedited,Estimated delivery on Aug 06
